plot,accession,rep,species,tarapoto,color,bitter,selected
1009,LA0462,1,SPE,N,G,NO,Y
1067,LA0462,2,SPE,N,G,NO,Y
1093,LA0462,3,SPE,N,G,NO,Y
1015,LA0722,1,SPI,N,R,UNK,Y
1058,LA0722,2,SPI,N,R,UNK,Y
1100,LA0722,3,SPI,N,R,UNK,Y
1013,LA1301,1,SPI,N,R,UNK,N
1060,LA1301,2,SPI,N,R,UNK,N
1098,LA1301,3,SPI,N,R,UNK,N
1033,LA1542,1,SLC,N,R,UNK,N
1055,LA1542,2,SLC,N,R,UNK,N
1084,LA1542,3,SLC,N,R,UNK,N
1027,LA2184,1,SPI,N,R,UNK,N
1072,LA2184,2,SPI,N,R,UNK,N
1078,LA2184,3,SPI,N,R,UNK,N
1019,LA2213,1,SLC,N,R,YES,Y
1061,LA2213,2,SLC,N,R,YES,Y
1107,LA2213,3,SLC,N,R,YES,Y
1003,LA2256,1,SLC,N,R,YES,Y
1043,LA2256,2,SLC,N,R,YES,Y
1105,LA2256,3,SLC,N,R,YES,Y
1005,LA2262,1,SLC,N,R,YES,Y
1048,LA2262,2,SLC,N,R,YES,Y
1106,LA2262,3,SLC,N,R,YES,Y
1007,LA2283,1,SL,Y,P,UNK,N
1049,LA2283,2,SL,Y,P,UNK,N
1076,LA2283,3,SL,Y,P,UNK,N
1017,LA2284,1,SL,Y,P,UNK,N
1042,LA2284,2,SL,Y,P,UNK,N
1080,LA2284,3,SL,Y,P,UNK,N
1016,LA2285,1,SL,Y,P,UNK,N
1040,LA2285,2,SL,Y,P,UNK,N
1081,LA2285,3,SL,Y,P,UNK,N
1036,LA2286,1,SL,Y,P,UNK,N
1059,LA2286,2,SL,Y,P,UNK,N
1097,LA2286,3,SL,Y,P,UNK,N
1026,LA2287,1,SL,Y,P,UNK,Y
1070,LA2287,2,SL,Y,P,UNK,Y
1077,LA2287,3,SL,Y,P,UNK,Y
1011,LA2288,1,SL,Y,P,UNK,Y
1068,LA2288,2,SL,Y,P,UNK,Y
1094,LA2288,3,SL,Y,P,UNK,Y
1022,LA2289,1,SL,Y,P,UNK,N
1047,LA2289,2,SL,Y,P,UNK,N
1087,LA2289,3,SL,Y,P,UNK,N
1012,LA2290,1,SL,Y,P,UNK,N
1071,LA2290,2,SL,Y,P,UNK,N
1096,LA2290,3,SL,Y,P,UNK,N
1029,LA2291,1,SL,Y,P,NO,N
1050,LA2291,2,SL,Y,P,NO,N
1074,LA2291,3,SL,Y,P,NO,N
1008,LA2292,1,SL,Y,P,UNK,N
1069,LA2292,2,SL,Y,P,UNK,N
1073,LA2292,3,SL,Y,P,UNK,N
1028,LA2293,1,SL,Y,P,UNK,N
1054,LA2293,2,SL,Y,P,UNK,N
1095,LA2293,3,SL,Y,P,UNK,N
1030,LA2294,1,SL,Y,P,YES,N
1052,LA2294,2,SL,Y,P,YES,N
1091,LA2294,3,SL,Y,P,YES,N
1004,LA2295,1,SL,Y,P,NO,N
1062,LA2295,2,SL,Y,P,NO,N
1104,LA2295,3,SL,Y,P,NO,N
1032,LA2296,1,SL,Y,P,UNK,Y
1038,LA2296,2,SL,Y,P,UNK,Y
1099,LA2296,3,SL,Y,P,UNK,Y
1021,LA2297,1,SL,Y,P,YES,Y
1065,LA2297,2,SL,Y,P,YES,Y
1085,LA2297,3,SL,Y,P,YES,Y
1035,LA2298,1,SL,Y,P,NO,N
1041,LA2298,2,SL,Y,P,NO,N
1101,LA2298,3,SL,Y,P,NO,N
1023,LA2299,1,SL,Y,P,NO,N
1046,LA2299,2,SL,Y,P,NO,N
1088,LA2299,3,SL,Y,P,NO,N
1014,LA2300,1,SL,Y,p,UNK,N
1037,LA2300,2,SL,Y,p,UNK,N
1082,LA2300,3,SL,Y,p,UNK,N
1034,LA2301,1,SLC,Y,P,NO,N
1056,LA2301,2,SLC,Y,P,NO,N
1079,LA2301,3,SLC,Y,P,NO,N
1018,LA2302,1,SL,Y,P,UNK,Y
1057,LA2302,2,SL,Y,P,UNK,Y
1083,LA2302,3,SL,Y,P,UNK,Y
1002,LA2303,1,SL,Y,R,UNK,N
1066,LA2303,2,SL,Y,R,UNK,N
1089,LA2303,3,SL,Y,R,UNK,N
1031,LA2304,1,SL,Y,P,UNK,N
1039,LA2304,2,SL,Y,P,UNK,N
1102,LA2304,3,SL,Y,P,UNK,N
1025,LA2305,1,SLC,Y,R,YES,Y
1053,LA2305,2,SLC,Y,R,YES,Y
1075,LA2305,3,SLC,Y,R,YES,Y
1020,LA2306,1,SL,Y,R,NO,N
1064,LA2306,2,SL,Y,R,NO,N
1108,LA2306,3,SL,Y,R,NO,N
1006,LA2307,1,SL,Y,R,UNK,N
1045,LA2307,2,SL,Y,R,UNK,N
1090,LA2307,3,SL,Y,R,UNK,N
1024,LA2533,1,SPI,N,R,UNK,N
1044,LA2533,2,SPI,N,R,UNK,N
1086,LA2533,3,SPI,N,R,UNK,N
NC28173,NC28173,1,SL,N,R,NO,Y
OH8243,OH8243,1,SL,N,R,NO,Y
1010,PI 129128,1,SLC,N,R,UNK,Y
1051,PI 129128,2,SLC,N,R,UNK,Y
1092,PI 129128,3,SLC,N,R,UNK,Y
1001,PI 155372,1,SL,N,R,UNK,Y
1063,PI 155372,2,SL,N,R,UNK,Y
1103,PI 155372,3,SL,N,R,UNK,Y
TAINAN,TAINAN,1,SLC,N,R,NO,Y